Name,Age,Gender,Region,Education,Profession,Political_Leaning,Civil_Bias,Criminal_Bias,Fairness_Score,Questionnaire,Prosecution_Bias,Defense_Bias,Neutral_Bias
Leela Sridhar,53,Male,Other,Graduate,Other,4.4,0.0,0.15,0.34,Do you believe everyone deserves a fair trial? I strongly agree with this statement. | Have you ever been involved in a legal dispute? I somewhat disagree with this viewpoint. | How do you feel about strict punishments for crimes? I am neutral on this matter. | Do you think your personal experiences could affect your judgment? My upbringing emphasized honesty and justice. | What is your opinion on civil lawsuits? I come from a middle-class family and it taught me fairness. | Do you trust the legal system to be impartial? My upbringing emphasized honesty and justice. | How comfortable are you making decisions that affect others? I somewhat disagree with this viewpoint. | Have you had any training or work in law enforcement? I try to remain unbiased despite personal life experiences. | Do you think age or background influences judgment? I strongly disagree and have opposite experiences. | What factors would you consider most important when deciding a case? I have experienced challenges that make me more empathetic. | Can you briefly describe your family background? I strongly agree with this statement. | Have your early life experiences shaped your perspective on justice? My upbringing emphasized honesty and justice. | Do you think your cultural background influences your judgment? I come from a middle-class family and it taught me fairness. | Have any personal experiences made you more empathetic or critical in decision-making? I come from a middle-class family and it taught me fairness. | Do you think socio-economic factors affect how you view cases? I come from a middle-class family and it taught me fairness. | Are there any life experiences that could impact your decisions as a juror? I strongly disagree and have opposite experiences.,0.7,0.89,0.88
Kiaan Raj,36,Male,Delhi,Graduate,Other,0.5,0.26,0.46,0.12,Do you believe everyone deserves a fair trial? I strongly disagree and have opposite experiences. | Have you ever been involved in a legal dispute? I strongly agree with this statement. | How do you feel about strict punishments for crimes? I am neutral on this matter. | Do you think your personal experiences could affect your judgment? I somewhat disagree with this viewpoint. | What is your opinion on civil lawsuits? I come from a middle-class family and it taught me fairness. | Do you trust the legal system to be impartial? I strongly agree with this statement. | How comfortable are you making decisions that affect others? I come from a middle-class family and it taught me fairness. | Have you had any training or work in law enforcement? I strongly disagree and have opposite experiences. | Do you think age or background influences judgment? I somewhat disagree with this viewpoint. | What factors would you consider most important when deciding a case? I strongly agree with this statement. | Can you briefly describe your family background? I come from a middle-class family and it taught me fairness. | Have your early life experiences shaped your perspective on justice? My socio-economic background has made me sensitive to inequality. | Do you think your cultural background influences your judgment? I somewhat agree but with some reservations. | Have any personal experiences made you more empathetic or critical in decision-making? My upbringing emphasized honesty and justice. | Do you think socio-economic factors affect how you view cases? I somewhat agree but with some reservations. | Are there any life experiences that could impact your decisions as a juror? My socio-economic background has made me sensitive to inequality.,0.07,0.01,0.27
Peter Deol,63,Female,Chennai,High School,Teacher,8.8,0.97,0.33,0.63,Do you believe everyone deserves a fair trial? I somewhat disagree with this viewpoint. | Have you ever been involved in a legal dispute? I try to remain unbiased despite personal life experiences. | How do you feel about strict punishments for crimes? My upbringing emphasized honesty and justice. | Do you think your personal experiences could affect your judgment? My upbringing emphasized honesty and justice. | What is your opinion on civil lawsuits? I come from a middle-class family and it taught me fairness. | Do you trust the legal system to be impartial? I have experienced challenges that make me more empathetic. | How comfortable are you making decisions that affect others? I somewhat disagree with this viewpoint. | Have you had any training or work in law enforcement? I am neutral on this matter. | Do you think age or background influences judgment? I strongly agree with this statement. | What factors would you consider most important when deciding a case? I come from a middle-class family and it taught me fairness. | Can you briefly describe your family background? Cultural traditions have shaped how I view responsibility. | Have your early life experiences shaped your perspective on justice? I strongly agree with this statement. | Do you think your cultural background influences your judgment? I somewhat agree but with some reservations. | Have any personal experiences made you more empathetic or critical in decision-making? I come from a middle-class family and it taught me fairness. | Do you think socio-economic factors affect how you view cases? I try to remain unbiased despite personal life experiences. | Are there any life experiences that could impact your decisions as a juror? My socio-economic background has made me sensitive to inequality.,0.58,0.83,0.51
Avni Karnik,28,Male,Hyderabad,Graduate,Student,3.0,0.94,0.21,0.05,Do you believe everyone deserves a fair trial? I come from a middle-class family and it taught me fairness. | Have you ever been involved in a legal dispute? I strongly disagree and have opposite experiences. | How do you feel about strict punishments for crimes? I try to remain unbiased despite personal life experiences. | Do you think your personal experiences could affect your judgment? I try to remain unbiased despite personal life experiences. | What is your opinion on civil lawsuits? I strongly disagree and have opposite experiences. | Do you trust the legal system to be impartial? I somewhat disagree with this viewpoint. | How comfortable are you making decisions that affect others? I have experienced challenges that make me more empathetic. | Have you had any training or work in law enforcement? I try to remain unbiased despite personal life experiences. | Do you think age or background influences judgment? My upbringing emphasized honesty and justice. | What factors would you consider most important when deciding a case? I am neutral on this matter. | Can you briefly describe your family background? My socio-economic background has made me sensitive to inequality. | Have your early life experiences shaped your perspective on justice? I strongly agree with this statement. | Do you think your cultural background influences your judgment? My socio-economic background has made me sensitive to inequality. | Have any personal experiences made you more empathetic or critical in decision-making? My upbringing emphasized honesty and justice. | Do you think socio-economic factors affect how you view cases? I try to remain unbiased despite personal life experiences. | Are there any life experiences that could impact your decisions as a juror? I have experienced challenges that make me more empathetic.,0.97,0.23,0.52
Robert Bhargava,42,Male,Bangalore,Postgraduate,Lawyer,8.7,0.22,0.63,0.68,Do you believe everyone deserves a fair trial? I strongly disagree and have opposite experiences. | Have you ever been involved in a legal dispute? I come from a middle-class family and it taught me fairness. | How do you feel about strict punishments for crimes? I strongly agree with this statement. | Do you think your personal experiences could affect your judgment? Cultural traditions have shaped how I view responsibility. | What is your opinion on civil lawsuits? I try to remain unbiased despite personal life experiences. | Do you trust the legal system to be impartial? I somewhat disagree with this viewpoint. | How comfortable are you making decisions that affect others? My socio-economic background has made me sensitive to inequality. | Have you had any training or work in law enforcement? I strongly agree with this statement. | Do you think age or background influences judgment? Cultural traditions have shaped how I view responsibility. | What factors would you consider most important when deciding a case? Cultural traditions have shaped how I view responsibility. | Can you briefly describe your family background? I somewhat disagree with this viewpoint. | Have your early life experiences shaped your perspective on justice? I strongly disagree and have opposite experiences. | Do you think your cultural background influences your judgment? I have experienced challenges that make me more empathetic. | Have any personal experiences made you more empathetic or critical in decision-making? I come from a middle-class family and it taught me fairness. | Do you think socio-economic factors affect how you view cases? I come from a middle-class family and it taught me fairness. | Are there any life experiences that could impact your decisions as a juror? I have experienced challenges that make me more empathetic.,0.98,0.88,0.4
Girik Sha,39,Female,Hyderabad,Graduate,Business,7.9,0.91,0.27,0.72,Do you believe everyone deserves a fair trial? My upbringing emphasized honesty and justice. | Have you ever been involved in a legal dispute? My upbringing emphasized honesty and justice. | How do you feel about strict punishments for crimes? I try to remain unbiased despite personal life experiences. | Do you think your personal experiences could affect your judgment? I am neutral on this matter. | What is your opinion on civil lawsuits? I have experienced challenges that make me more empathetic. | Do you trust the legal system to be impartial? My socio-economic background has made me sensitive to inequality. | How comfortable are you making decisions that affect others? I strongly agree with this statement. | Have you had any training or work in law enforcement? I am neutral on this matter. | Do you think age or background influences judgment? I strongly agree with this statement. | What factors would you consider most important when deciding a case? I come from a middle-class family and it taught me fairness. | Can you briefly describe your family background? I strongly disagree and have opposite experiences. | Have your early life experiences shaped your perspective on justice? I am neutral on this matter. | Do you think your cultural background influences your judgment? I come from a middle-class family and it taught me fairness. | Have any personal experiences made you more empathetic or critical in decision-making? I have experienced challenges that make me more empathetic. | Do you think socio-economic factors affect how you view cases? I strongly agree with this statement. | Are there any life experiences that could impact your decisions as a juror? My upbringing emphasized honesty and justice.,0.23,0.95,0.58
Chaaya Dutt,33,Male,Kolkata,Graduate,Other,1.0,0.73,0.12,0.69,Do you believe everyone deserves a fair trial? I try to remain unbiased despite personal life experiences. | Have you ever been involved in a legal dispute? My socio-economic background has made me sensitive to inequality. | How do you feel about strict punishments for crimes? I am neutral on this matter. | Do you think your personal experiences could affect your judgment? I try to remain unbiased despite personal life experiences. | What is your opinion on civil lawsuits? I come from a middle-class family and it taught me fairness. | Do you trust the legal system to be impartial? I come from a middle-class family and it taught me fairness. | How comfortable are you making decisions that affect others? I try to remain unbiased despite personal life experiences. | Have you had any training or work in law enforcement? I strongly agree with this statement. | Do you think age or background influences judgment? I have experienced challenges that make me more empathetic. | What factors would you consider most important when deciding a case? I somewhat disagree with this viewpoint. | Can you briefly describe your family background? I strongly agree with this statement. | Have your early life experiences shaped your perspective on justice? My socio-economic background has made me sensitive to inequality. | Do you think your cultural background influences your judgment? I somewhat disagree with this viewpoint. | Have any personal experiences made you more empathetic or critical in decision-making? I come from a middle-class family and it taught me fairness. | Do you think socio-economic factors affect how you view cases? My upbringing emphasized honesty and justice. | Are there any life experiences that could impact your decisions as a juror? I come from a middle-class family and it taught me fairness.,0.7,0.52,0.56
Edhitha Ghose,51,Male,Kolkata,Postgraduate,Engineer,7.5,0.31,0.27,0.6,Do you believe everyone deserves a fair trial? I somewhat agree but with some reservations. | Have you ever been involved in a legal dispute? Cultural traditions have shaped how I view responsibility. | How do you feel about strict punishments for crimes? I come from a middle-class family and it taught me fairness. | Do you think your personal experiences could affect your judgment? I have experienced challenges that make me more empathetic. | What is your opinion on civil lawsuits? I am neutral on this matter. | Do you trust the legal system to be impartial? I somewhat disagree with this viewpoint. | How comfortable are you making decisions that affect others? I somewhat agree but with some reservations. | Have you had any training or work in law enforcement? I come from a middle-class family and it taught me fairness. | Do you think age or background influences judgment? I come from a middle-class family and it taught me fairness. | What factors would you consider most important when deciding a case? I have experienced challenges that make me more empathetic. | Can you briefly describe your family background? I somewhat disagree with this viewpoint. | Have your early life experiences shaped your perspective on justice? I am neutral on this matter. | Do you think your cultural background influences your judgment? I try to remain unbiased despite personal life experiences. | Have any personal experiences made you more empathetic or critical in decision-making? I am neutral on this matter. | Do you think socio-economic factors affect how you view cases? I somewhat disagree with this viewpoint. | Are there any life experiences that could impact your decisions as a juror? I strongly agree with this statement.,0.59,0.74,0.08
Mahika Kurian,29,Female,Hyderabad,High School,Business,1.1,0.47,0.11,0.82,Do you believe everyone deserves a fair trial? I strongly disagree and have opposite experiences. | Have you ever been involved in a legal dispute? My socio-economic background has made me sensitive to inequality. | How do you feel about strict punishments for crimes? I somewhat disagree with this viewpoint. | Do you think your personal experiences could affect your judgment? I strongly disagree and have opposite experiences. | What is your opinion on civil lawsuits? I come from a middle-class family and it taught me fairness. | Do you trust the legal system to be impartial? Cultural traditions have shaped how I view responsibility. | How comfortable are you making decisions that affect others? I somewhat agree but with some reservations. | Have you had any training or work in law enforcement? My socio-economic background has made me sensitive to inequality. | Do you think age or background influences judgment? I have experienced challenges that make me more empathetic. | What factors would you consider most important when deciding a case? I somewhat disagree with this viewpoint. | Can you briefly describe your family background? I somewhat agree but with some reservations. | Have your early life experiences shaped your perspective on justice? I somewhat agree but with some reservations. | Do you think your cultural background influences your judgment? I somewhat disagree with this viewpoint. | Have any personal experiences made you more empathetic or critical in decision-making? I somewhat agree but with some reservations. | Do you think socio-economic factors affect how you view cases? My socio-economic background has made me sensitive to inequality. | Are there any life experiences that could impact your decisions as a juror? I somewhat agree but with some reservations.,0.49,0.93,0.01
Yutika Dutta,52,Female,Bangalore,Postgraduate,Business,9.5,0.25,0.5,0.13,Do you believe everyone deserves a fair trial? I somewhat agree but with some reservations. | Have you ever been involved in a legal dispute? My socio-economic background has made me sensitive to inequality. | How do you feel about strict punishments for crimes? Cultural traditions have shaped how I view responsibility. | Do you think your personal experiences could affect your judgment? My socio-economic background has made me sensitive to inequality. | What is your opinion on civil lawsuits? Cultural traditions have shaped how I view responsibility. | Do you trust the legal system to be impartial? I strongly agree with this statement. | How comfortable are you making decisions that affect others? I try to remain unbiased despite personal life experiences. | Have you had any training or work in law enforcement? Cultural traditions have shaped how I view responsibility. | Do you think age or background influences judgment? I somewhat disagree with this viewpoint. | What factors would you consider most important when deciding a case? I somewhat disagree with this viewpoint. | Can you briefly describe your family background? I strongly disagree and have opposite experiences. | Have your early life experiences shaped your perspective on justice? My socio-economic background has made me sensitive to inequality. | Do you think your cultural background influences your judgment? My upbringing emphasized honesty and justice. | Have any personal experiences made you more empathetic or critical in decision-making? I somewhat disagree with this viewpoint. | Do you think socio-economic factors affect how you view cases? I somewhat agree but with some reservations. | Are there any life experiences that could impact your decisions as a juror? I come from a middle-class family and it taught me fairness.,0.4,0.96,0.88
Aditya Kara,44,Male,Chennai,High School,Business,9.9,0.3,0.45,0.22,Do you believe everyone deserves a fair trial? I somewhat agree but with some reservations. | Have you ever been involved in a legal dispute? I am neutral on this matter. | How do you feel about strict punishments for crimes? I strongly agree with this statement. | Do you think your personal experiences could affect your judgment? I am neutral on this matter. | What is your opinion on civil lawsuits? My socio-economic background has made me sensitive to inequality. | Do you trust the legal system to be impartial? I strongly agree with this statement. | How comfortable are you making decisions that affect others? My socio-economic background has made me sensitive to inequality. | Have you had any training or work in law enforcement? I strongly disagree and have opposite experiences. | Do you think age or background influences judgment? I strongly agree with this statement. | What factors would you consider most important when deciding a case? I try to remain unbiased despite personal life experiences. | Can you briefly describe your family background? I try to remain unbiased despite personal life experiences. | Have your early life experiences shaped your perspective on justice? I somewhat disagree with this viewpoint. | Do you think your cultural background influences your judgment? Cultural traditions have shaped how I view responsibility. | Have any personal experiences made you more empathetic or critical in decision-making? I somewhat disagree with this viewpoint. | Do you think socio-economic factors affect how you view cases? I have experienced challenges that make me more empathetic. | Are there any life experiences that could impact your decisions as a juror? My upbringing emphasized honesty and justice.,0.27,0.45,0.04
Daksha Kale,37,Male,Kolkata,Postgraduate,Teacher,6.0,0.14,0.46,0.13,Do you believe everyone deserves a fair trial? I somewhat disagree with this viewpoint. | Have you ever been involved in a legal dispute? I somewhat agree but with some reservations. | How do you feel about strict punishments for crimes? I somewhat agree but with some reservations. | Do you think your personal experiences could affect your judgment? I somewhat agree but with some reservations. | What is your opinion on civil lawsuits? I strongly agree with this statement. | Do you trust the legal system to be impartial? I have experienced challenges that make me more empathetic. | How comfortable are you making decisions that affect others? I am neutral on this matter. | Have you had any training or work in law enforcement? Cultural traditions have shaped how I view responsibility. | Do you think age or background influences judgment? Cultural traditions have shaped how I view responsibility. | What factors would you consider most important when deciding a case? My upbringing emphasized honesty and justice. | Can you briefly describe your family background? I strongly disagree and have opposite experiences. | Have your early life experiences shaped your perspective on justice? I have experienced challenges that make me more empathetic. | Do you think your cultural background influences your judgment? I come from a middle-class family and it taught me fairness. | Have any personal experiences made you more empathetic or critical in decision-making? My socio-economic background has made me sensitive to inequality. | Do you think socio-economic factors affect how you view cases? I try to remain unbiased despite personal life experiences. | Are there any life experiences that could impact your decisions as a juror? Cultural traditions have shaped how I view responsibility.,0.91,0.61,0.19
Rushil Kari,40,Male,Chennai,Postgraduate,Student,3.5,0.78,0.65,0.83,Do you believe everyone deserves a fair trial? I strongly agree with this statement. | Have you ever been involved in a legal dispute? I try to remain unbiased despite personal life experiences. | How do you feel about strict punishments for crimes? My socio-economic background has made me sensitive to inequality. | Do you think your personal experiences could affect your judgment? I try to remain unbiased despite personal life experiences. | What is your opinion on civil lawsuits? I somewhat disagree with this viewpoint. | Do you trust the legal system to be impartial? I strongly disagree and have opposite experiences. | How comfortable are you making decisions that affect others? My socio-economic background has made me sensitive to inequality. | Have you had any training or work in law enforcement? My upbringing emphasized honesty and justice. | Do you think age or background influences judgment? My upbringing emphasized honesty and justice. | What factors would you consider most important when deciding a case? I somewhat agree but with some reservations. | Can you briefly describe your family background? I strongly agree with this statement. | Have your early life experiences shaped your perspective on justice? I somewhat disagree with this viewpoint. | Do you think your cultural background influences your judgment? I have experienced challenges that make me more empathetic. | Have any personal experiences made you more empathetic or critical in decision-making? My upbringing emphasized honesty and justice. | Do you think socio-economic factors affect how you view cases? I somewhat agree but with some reservations. | Are there any life experiences that could impact your decisions as a juror? I am neutral on this matter.,0.36,1.0,0.65
Yashodhara Saran,40,Male,Other,Postgraduate,Student,1.7,0.04,0.67,0.85,Do you believe everyone deserves a fair trial? My socio-economic background has made me sensitive to inequality. | Have you ever been involved in a legal dispute? I try to remain unbiased despite personal life experiences. | How do you feel about strict punishments for crimes? My upbringing emphasized honesty and justice. | Do you think your personal experiences could affect your judgment? I have experienced challenges that make me more empathetic. | What is your opinion on civil lawsuits? My socio-economic background has made me sensitive to inequality. | Do you trust the legal system to be impartial? I have experienced challenges that make me more empathetic. | How comfortable are you making decisions that affect others? I strongly agree with this statement. | Have you had any training or work in law enforcement? I strongly disagree and have opposite experiences. | Do you think age or background influences judgment? I am neutral on this matter. | What factors would you consider most important when deciding a case? I am neutral on this matter. | Can you briefly describe your family background? I have experienced challenges that make me more empathetic. | Have your early life experiences shaped your perspective on justice? Cultural traditions have shaped how I view responsibility. | Do you think your cultural background influences your judgment? I strongly disagree and have opposite experiences. | Have any personal experiences made you more empathetic or critical in decision-making? I try to remain unbiased despite personal life experiences. | Do you think socio-economic factors affect how you view cases? I have experienced challenges that make me more empathetic. | Are there any life experiences that could impact your decisions as a juror? I somewhat disagree with this viewpoint.,0.09,0.35,0.04
Aarini Chand,37,Female,Other,High School,Engineer,7.5,0.15,0.39,0.77,Do you believe everyone deserves a fair trial? Cultural traditions have shaped how I view responsibility. | Have you ever been involved in a legal dispute? Cultural traditions have shaped how I view responsibility. | How do you feel about strict punishments for crimes? I somewhat agree but with some reservations. | Do you think your personal experiences could affect your judgment? I strongly disagree and have opposite experiences. | What is your opinion on civil lawsuits? I have experienced challenges that make me more empathetic. | Do you trust the legal system to be impartial? I strongly agree with this statement. | How comfortable are you making decisions that affect others? I try to remain unbiased despite personal life experiences. | Have you had any training or work in law enforcement? I strongly disagree and have opposite experiences. | Do you think age or background influences judgment? I am neutral on this matter. | What factors would you consider most important when deciding a case? I come from a middle-class family and it taught me fairness. | Can you briefly describe your family background? My socio-economic background has made me sensitive to inequality. | Have your early life experiences shaped your perspective on justice? I strongly agree with this statement. | Do you think your cultural background influences your judgment? I strongly agree with this statement. | Have any personal experiences made you more empathetic or critical in decision-making? I am neutral on this matter. | Do you think socio-economic factors affect how you view cases? I come from a middle-class family and it taught me fairness. | Are there any life experiences that could impact your decisions as a juror? I have experienced challenges that make me more empathetic.,0.23,0.88,0.51
Oni Ray,51,Female,Chennai,Postgraduate,Teacher,9.8,0.15,0.24,0.85,Do you believe everyone deserves a fair trial? I come from a middle-class family and it taught me fairness. | Have you ever been involved in a legal dispute? I somewhat agree but with some reservations. | How do you feel about strict punishments for crimes? I somewhat agree but with some reservations. | Do you think your personal experiences could affect your judgment? I come from a middle-class family and it taught me fairness. | What is your opinion on civil lawsuits? I strongly agree with this statement. | Do you trust the legal system to be impartial? I strongly disagree and have opposite experiences. | How comfortable are you making decisions that affect others? I have experienced challenges that make me more empathetic. | Have you had any training or work in law enforcement? I try to remain unbiased despite personal life experiences. | Do you think age or background influences judgment? I somewhat disagree with this viewpoint. | What factors would you consider most important when deciding a case? I strongly agree with this statement. | Can you briefly describe your family background? My socio-economic background has made me sensitive to inequality. | Have your early life experiences shaped your perspective on justice? I come from a middle-class family and it taught me fairness. | Do you think your cultural background influences your judgment? I try to remain unbiased despite personal life experiences. | Have any personal experiences made you more empathetic or critical in decision-making? Cultural traditions have shaped how I view responsibility. | Do you think socio-economic factors affect how you view cases? My upbringing emphasized honesty and justice. | Are there any life experiences that could impact your decisions as a juror? I am neutral on this matter.,0.57,0.1,0.71
Janaki Keer,61,Male,Chennai,High School,Teacher,1.8,0.92,0.54,0.28,Do you believe everyone deserves a fair trial? I try to remain unbiased despite personal life experiences. | Have you ever been involved in a legal dispute? I strongly agree with this statement. | How do you feel about strict punishments for crimes? I am neutral on this matter. | Do you think your personal experiences could affect your judgment? Cultural traditions have shaped how I view responsibility. | What is your opinion on civil lawsuits? My upbringing emphasized honesty and justice. | Do you trust the legal system to be impartial? I somewhat disagree with this viewpoint. | How comfortable are you making decisions that affect others? I have experienced challenges that make me more empathetic. | Have you had any training or work in law enforcement? I strongly disagree and have opposite experiences. | Do you think age or background influences judgment? I try to remain unbiased despite personal life experiences. | What factors would you consider most important when deciding a case? I strongly disagree and have opposite experiences. | Can you briefly describe your family background? I have experienced challenges that make me more empathetic. | Have your early life experiences shaped your perspective on justice? I somewhat agree but with some reservations. | Do you think your cultural background influences your judgment? I somewhat agree but with some reservations. | Have any personal experiences made you more empathetic or critical in decision-making? I try to remain unbiased despite personal life experiences. | Do you think socio-economic factors affect how you view cases? I am neutral on this matter. | Are there any life experiences that could impact your decisions as a juror? My socio-economic background has made me sensitive to inequality.,0.15,0.01,0.33
Veda Gaba,53,Male,Mumbai,Postgraduate,Student,2.2,0.27,0.99,0.24,Do you believe everyone deserves a fair trial? I try to remain unbiased despite personal life experiences. | Have you ever been involved in a legal dispute? I somewhat disagree with this viewpoint. | How do you feel about strict punishments for crimes? I strongly agree with this statement. | Do you think your personal experiences could affect your judgment? My socio-economic background has made me sensitive to inequality. | What is your opinion on civil lawsuits? I somewhat disagree with this viewpoint. | Do you trust the legal system to be impartial? My socio-economic background has made me sensitive to inequality. | How comfortable are you making decisions that affect others? I somewhat disagree with this viewpoint. | Have you had any training or work in law enforcement? I strongly agree with this statement. | Do you think age or background influences judgment? My socio-economic background has made me sensitive to inequality. | What factors would you consider most important when deciding a case? I somewhat agree but with some reservations. | Can you briefly describe your family background? I have experienced challenges that make me more empathetic. | Have your early life experiences shaped your perspective on justice? I come from a middle-class family and it taught me fairness. | Do you think your cultural background influences your judgment? I strongly agree with this statement. | Have any personal experiences made you more empathetic or critical in decision-making? I try to remain unbiased despite personal life experiences. | Do you think socio-economic factors affect how you view cases? I somewhat disagree with this viewpoint. | Are there any life experiences that could impact your decisions as a juror? I come from a middle-class family and it taught me fairness.,0.04,0.62,0.15
Yoshita Master,57,Male,Delhi,Graduate,Teacher,7.9,0.11,0.04,0.5,Do you believe everyone deserves a fair trial? I am neutral on this matter. | Have you ever been involved in a legal dispute? I try to remain unbiased despite personal life experiences. | How do you feel about strict punishments for crimes? I come from a middle-class family and it taught me fairness. | Do you think your personal experiences could affect your judgment? I come from a middle-class family and it taught me fairness. | What is your opinion on civil lawsuits? I have experienced challenges that make me more empathetic. | Do you trust the legal system to be impartial? I try to remain unbiased despite personal life experiences. | How comfortable are you making decisions that affect others? I somewhat disagree with this viewpoint. | Have you had any training or work in law enforcement? I am neutral on this matter. | Do you think age or background influences judgment? I am neutral on this matter. | What factors would you consider most important when deciding a case? I strongly disagree and have opposite experiences. | Can you briefly describe your family background? I strongly disagree and have opposite experiences. | Have your early life experiences shaped your perspective on justice? I somewhat agree but with some reservations. | Do you think your cultural background influences your judgment? Cultural traditions have shaped how I view responsibility. | Have any personal experiences made you more empathetic or critical in decision-making? I strongly disagree and have opposite experiences. | Do you think socio-economic factors affect how you view cases? I come from a middle-class family and it taught me fairness. | Are there any life experiences that could impact your decisions as a juror? I strongly disagree and have opposite experiences.,0.48,0.81,0.36
Yutika Chatterjee,53,Male,Hyderabad,High School,Teacher,3.6,0.45,0.02,0.73,Do you believe everyone deserves a fair trial? I have experienced challenges that make me more empathetic. | Have you ever been involved in a legal dispute? I have experienced challenges that make me more empathetic. | How do you feel about strict punishments for crimes? I have experienced challenges that make me more empathetic. | Do you think your personal experiences could affect your judgment? I somewhat disagree with this viewpoint. | What is your opinion on civil lawsuits? My upbringing emphasized honesty and justice. | Do you trust the legal system to be impartial? I strongly disagree and have opposite experiences. | How comfortable are you making decisions that affect others? I somewhat disagree with this viewpoint. | Have you had any training or work in law enforcement? I try to remain unbiased despite personal life experiences. | Do you think age or background influences judgment? I somewhat disagree with this viewpoint. | What factors would you consider most important when deciding a case? I am neutral on this matter. | Can you briefly describe your family background? I strongly agree with this statement. | Have your early life experiences shaped your perspective on justice? I try to remain unbiased despite personal life experiences. | Do you think your cultural background influences your judgment? I somewhat disagree with this viewpoint. | Have any personal experiences made you more empathetic or critical in decision-making? I somewhat agree but with some reservations. | Do you think socio-economic factors affect how you view cases? I strongly disagree and have opposite experiences. | Are there any life experiences that could impact your decisions as a juror? I try to remain unbiased despite personal life experiences.,0.46,0.08,0.62
Bachittar Vig,59,Male,Kolkata,High School,Student,3.2,0.6,0.74,0.17,Do you believe everyone deserves a fair trial? My upbringing emphasized honesty and justice. | Have you ever been involved in a legal dispute? My socio-economic background has made me sensitive to inequality. | How do you feel about strict punishments for crimes? My upbringing emphasized honesty and justice. | Do you think your personal experiences could affect your judgment? I have experienced challenges that make me more empathetic. | What is your opinion on civil lawsuits? I strongly disagree and have opposite experiences. | Do you trust the legal system to be impartial? I strongly agree with this statement. | How comfortable are you making decisions that affect others? Cultural traditions have shaped how I view responsibility. | Have you had any training or work in law enforcement? I strongly disagree and have opposite experiences. | Do you think age or background influences judgment? I strongly disagree and have opposite experiences. | What factors would you consider most important when deciding a case? My upbringing emphasized honesty and justice. | Can you briefly describe your family background? I strongly agree with this statement. | Have your early life experiences shaped your perspective on justice? I strongly disagree and have opposite experiences. | Do you think your cultural background influences your judgment? I somewhat agree but with some reservations. | Have any personal experiences made you more empathetic or critical in decision-making? Cultural traditions have shaped how I view responsibility. | Do you think socio-economic factors affect how you view cases? I am neutral on this matter. | Are there any life experiences that could impact your decisions as a juror? I somewhat disagree with this viewpoint.,0.73,0.35,0.36
Bachittar Rajan,64,Female,Hyderabad,Graduate,Student,0.1,0.33,0.87,0.41,Do you believe everyone deserves a fair trial? I strongly agree with this statement. | Have you ever been involved in a legal dispute? I strongly agree with this statement. | How do you feel about strict punishments for crimes? My socio-economic background has made me sensitive to inequality. | Do you think your personal experiences could affect your judgment? I have experienced challenges that make me more empathetic. | What is your opinion on civil lawsuits? I try to remain unbiased despite personal life experiences. | Do you trust the legal system to be impartial? I strongly agree with this statement. | How comfortable are you making decisions that affect others? I strongly agree with this statement. | Have you had any training or work in law enforcement? I somewhat agree but with some reservations. | Do you think age or background influences judgment? I somewhat disagree with this viewpoint. | What factors would you consider most important when deciding a case? I have experienced challenges that make me more empathetic. | Can you briefly describe your family background? I strongly disagree and have opposite experiences. | Have your early life experiences shaped your perspective on justice? My socio-economic background has made me sensitive to inequality. | Do you think your cultural background influences your judgment? I try to remain unbiased despite personal life experiences. | Have any personal experiences made you more empathetic or critical in decision-making? I come from a middle-class family and it taught me fairness. | Do you think socio-economic factors affect how you view cases? I have experienced challenges that make me more empathetic. | Are there any life experiences that could impact your decisions as a juror? I come from a middle-class family and it taught me fairness.,0.63,0.86,0.06
Atharv Shukla,31,Female,Bangalore,Postgraduate,Engineer,2.7,0.26,0.91,0.16,Do you believe everyone deserves a fair trial? Cultural traditions have shaped how I view responsibility. | Have you ever been involved in a legal dispute? I strongly disagree and have opposite experiences. | How do you feel about strict punishments for crimes? I come from a middle-class family and it taught me fairness. | Do you think your personal experiences could affect your judgment? I am neutral on this matter. | What is your opinion on civil lawsuits? I have experienced challenges that make me more empathetic. | Do you trust the legal system to be impartial? I strongly agree with this statement. | How comfortable are you making decisions that affect others? My socio-economic background has made me sensitive to inequality. | Have you had any training or work in law enforcement? I am neutral on this matter. | Do you think age or background influences judgment? I try to remain unbiased despite personal life experiences. | What factors would you consider most important when deciding a case? I come from a middle-class family and it taught me fairness. | Can you briefly describe your family background? My socio-economic background has made me sensitive to inequality. | Have your early life experiences shaped your perspective on justice? I am neutral on this matter. | Do you think your cultural background influences your judgment? I try to remain unbiased despite personal life experiences. | Have any personal experiences made you more empathetic or critical in decision-making? I am neutral on this matter. | Do you think socio-economic factors affect how you view cases? I somewhat agree but with some reservations. | Are there any life experiences that could impact your decisions as a juror? I have experienced challenges that make me more empathetic.,0.91,0.05,0.01
